Rank,wind speed
0,2.700000048
1,2.200000048
2,3
3,2.700000048
4,1.899999976
5,2.5
6,0.699999988
7,0.100000001
8,0.800000012
9,0.400000006
10,0.5
11,0.5
12,0
13,0.100000001
14,0
15,0.200000003
16,0
17,0.200000003
18,0.400000006
19,0.100000001
20,0.100000001
21,0.5
22,0.200000003
23,0.400000006
24,0.200000003
25,1
26,1
27,0.600000024
28,1.100000024
29,0.100000001
30,0.300000012
31,0.200000003
32,0
33,0
34,0.300000012
35,1.100000024
36,1.899999976
37,1.299999952
38,0.5
39,1.100000024
40,2.900000095
41,1.200000048
42,0.699999988
43,1.299999952
44,0.5
45,0.5
46,1.200000048
47,0.899999976
48,0.5
49,0.899999976
50,1.799999952
51,0.699999988
52,1.5
53,0.800000012
54,0.899999976
55,1.200000048
56,2
57,2.5
58,3.900000095
59,4.099999905
60,2.799999952
61,2.900000095
62,2.900000095
63,2.299999952
64,3
65,4.699999809
66,3.099999905
67,4.5
68,4.800000191
69,3.700000048
70,4.5
71,3
72,6.400000095
73,3.700000048
74,4.199999809
75,3.700000048
76,4.300000191
77,5.199999809
78,4.800000191
79,4.599999905
80,3
81,3.299999952
82,4.099999905
83,4.699999809
84,5.900000095
85,3.799999952
86,5.400000095
87,2.200000048
88,4.400000095
89,1.600000024
90,1
91,1.399999976
92,3.299999952
93,2.599999905
94,1.899999976
95,1.899999976
96,1.299999952
97,1.200000048
98,1.399999976
99,1.5
100,1.5
101,1.600000024
102,1.700000048
103,1.100000024
104,0.800000012
105,1.100000024
106,1.700000048
107,0.899999976
108,1.899999976
109,1.100000024
110,0.699999988
111,0.600000024
112,0.100000001
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1.5
123,0.800000012
124,1.299999952
125,1.899999976
126,3.799999952
127,2.200000048
128,4.199999809
129,4
130,4.5
131,4.099999905
132,4.300000191
133,5.800000191
134,3.099999905
135,2.700000048
136,2.400000095
137,3.200000048
138,2.700000048
139,4.699999809
140,3.299999952
141,4.699999809
142,3.700000048
143,3.400000095
144,3.900000095
145,4.400000095
146,3.299999952
147,2.599999905
148,2.900000095
149,3.5
150,1.799999952
151,2.299999952
152,1.600000024
153,0.600000024
154,1.5
155,1.100000024
156,0.5
157,1.100000024
158,2.400000095
159,1.700000048
160,1
161,1.5
162,0.699999988
163,1.200000048
164,1.5
165,0.899999976
166,1.700000048
167,0.600000024
168,0.5
169,0.200000003
170,0.200000003
171,0
172,0
173,0
174,0
175,0
176,0
177,0.300000012
178,0.100000001
179,1.299999952
180,1.299999952
181,0.5
182,0.5
183,0.100000001
184,0.699999988
185,0.200000003
186,0.600000024
187,0.800000012
188,0.699999988
189,0.5
190,1.299999952
191,1.100000024
192,1.600000024
193,2.299999952
194,1.100000024
195,1.5
196,0.899999976
197,2.099999905
198,1.5
199,3.299999952
200,2.700000048
201,2.5
202,2.599999905
203,4.300000191
204,3.299999952
205,3.900000095
206,3.900000095
207,4.599999905
208,5.599999905
209,5.5
210,4.599999905
211,4.300000191
212,4.800000191
213,4.900000095
214,6.599999905
215,5.900000095
216,4.699999809
217,4.699999809
218,5.199999809
219,5.599999905
220,4.800000191
221,6
222,3.299999952
223,5.800000191
224,5.400000095
225,4.699999809
226,4
227,4.099999905
228,2.400000095
229,2
230,2.200000048
231,3.400000095
232,3.599999905
233,2.799999952
234,3.200000048
235,4.5
236,4.099999905
237,3.799999952
238,2.400000095
239,2.700000048
240,3.599999905
241,3.5
242,6.699999809
243,4.599999905
244,4.199999809
245,6.599999905
246,5.400000095
247,8
248,6.199999809
249,3.5
250,4
251,3.5
252,1.799999952
253,3.099999905
254,1.399999976
255,3.700000048
256,3.599999905
257,3.799999952
258,3.900000095
259,3.700000048
260,4.800000191
261,5
262,2
263,3.400000095
264,3.299999952
265,3.299999952
266,2.700000048
267,4.400000095
268,3.900000095
269,2.900000095
270,4.599999905
271,3.5
272,2.5
273,3.099999905
274,3.200000048
275,4.400000095
276,3.400000095
277,4.099999905
278,4
279,2
280,2.299999952
281,2.900000095
282,1.399999976
283,1.600000024
284,1.399999976
285,0.5
286,1.200000048
287,0
288,0.100000001
289,0.699999988
290,0.699999988
291,0
292,0
293,0.100000001
294,0
295,0
296,0.100000001
297,0.100000001
298,0
299,0.800000012
300,1.799999952
301,2
302,4.199999809
303,2.099999905
304,2.299999952
305,4.099999905
306,4.300000191
307,5.199999809
308,3.900000095
309,0.100000001
310,0.600000024
311,0.5
312,0.400000006
313,0.800000012
314,2.400000095
315,2.400000095
316,4
317,1.600000024
318,2.5
319,1.399999976
320,1.100000024
321,0.699999988
322,1.100000024
323,1.100000024
324,1
325,2.599999905
326,2
327,1
328,2
329,3
330,2.400000095
331,2.400000095
332,2.5
333,0.899999976
334,0.699999988
335,0.899999976
336,1.700000048
337,1.100000024
338,1.299999952
339,0.899999976
340,1
341,1.5
342,0.300000012
343,0.100000001
344,0.200000003
345,0.100000001
346,0.300000012
347,1
348,0.800000012
349,1.399999976
350,0.600000024
351,0.300000012
352,0.100000001
353,0
354,0.100000001
355,0.300000012
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0.100000001
366,0
367,0
368,0
369,0
370,0.100000001
371,0.600000024
372,1.700000048
373,0.899999976
374,0.300000012
375,0.400000006
376,0.200000003
377,0.400000006
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,1.5
390,0
391,0.600000024
392,1.399999976
393,0.800000012
394,0.600000024
395,0.400000006
396,1
397,0.899999976
398,1.700000048
399,1.700000048
400,1.299999952
401,1.399999976
402,1.200000048
403,1.399999976
404,0.899999976
405,1.5
406,1.299999952
407,1.399999976
408,2.5
409,1.5
410,2.700000048
411,1.5
412,1
413,1.100000024
414,1.799999952
415,1.399999976
416,3
417,2.200000048
418,2
419,2.200000048
420,2.200000048
421,1.899999976
422,1.200000048
423,2
424,1.299999952
425,1.100000024
426,1.299999952
427,1.600000024
428,1.700000048
429,1.200000048
430,1
431,1.799999952
432,1.5
433,0.5
434,0.800000012
435,1.299999952
436,1
437,1.399999976
438,0.899999976
439,0.699999988
440,0.600000024
441,0.800000012
442,1.100000024
443,1.200000048
444,1.399999976
445,0.699999988
446,1.299999952
447,1.399999976
448,0.5
449,1
450,0.5
451,0.5
452,0.400000006
453,0.300000012
454,0.400000006
455,0.300000012
456,0.100000001
457,0.699999988
458,0.400000006
459,0.5
460,0.100000001
461,0.100000001
462,0.800000012
463,0.200000003
464,0.800000012
465,0.300000012
466,1.399999976
467,0.699999988
468,1.200000048
469,0.300000012
470,1.200000048
471,0.200000003
472,1.200000048
473,0.5
474,0.400000006
475,0.300000012
476,0.100000001
477,0.200000003
478,0.200000003
479,0.5
480,0.100000001
481,0.600000024
482,0
483,0
484,0
485,0
486,0.300000012
487,0.300000012
488,0.100000001
489,0.100000001
490,0.600000024
491,0.699999988
492,0.899999976
493,1.399999976
494,1.100000024
495,0.300000012
496,0.200000003
497,0.100000001
498,0
499,0.100000001
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0.200000003
509,0.600000024
510,0.699999988
511,0.300000012
512,0.5
513,1
514,0.600000024
515,2
516,2.099999905
517,1.100000024
518,0.300000012
519,1.700000048
520,1.899999976
521,1
522,1.5
523,0.300000012
524,0.100000001
525,0.400000006
526,0
527,0
528,0.699999988
529,0.400000006
530,0.699999988
531,1.100000024
532,1
533,0.699999988
534,0.200000003
535,0.800000012
536,1.399999976
537,1.700000048
538,1.200000048
539,0.400000006
540,1.200000048
541,1
542,1.399999976
543,0.600000024
544,0.100000001
545,0.5
546,0.400000006
547,0.100000001
548,0
549,0.100000001
550,0.100000001
551,0
552,0
553,0
554,0
555,0
556,0.100000001
557,0
558,0
559,1.100000024
560,0.600000024
561,1
562,0.300000012
563,0.400000006
564,0.200000003
565,1.799999952
566,1
567,1.100000024
568,0.5
569,0.200000003
570,1.799999952
571,1.200000048
572,1
573,1.200000048
574,1.700000048
575,1.200000048
576,3.799999952
577,1.700000048
578,1.200000048
579,0.5
580,1.100000024
581,1
582,1.799999952
583,2.299999952
584,1.899999976
585,2.599999905
586,2.200000048
587,2.099999905
588,3.200000048
589,1.299999952
590,2.900000095
591,1
592,1.799999952
593,2.400000095
594,1
595,2.299999952
596,1.299999952
597,3.200000048
598,1.5
599,1.899999976
600,3.099999905
601,2.700000048
602,1.899999976
603,2.700000048
604,1.299999952
605,1.200000048
606,1.700000048
607,2.400000095
608,2.5
609,1.5
610,2.299999952
611,2.299999952
612,2.5
613,4.099999905
614,2.900000095
615,2.599999905
616,3.700000048
617,2.799999952
618,3.400000095
619,1.299999952
620,1.200000048
621,1.600000024
622,2.299999952
623,2.200000048
624,1.899999976
625,1.299999952
626,1.799999952
627,2.299999952
628,1
629,2.5
630,4
631,4.400000095
632,4
633,5.300000191
634,6.199999809
635,3.299999952
636,4.699999809
637,3.599999905
638,2.599999905
639,2.200000048
640,2.299999952
641,1.799999952
642,2.200000048
643,2.599999905
644,1.100000024
645,1.399999976
646,1.899999976
647,1.5
648,1.5
649,1.700000048
650,1.899999976
651,1
652,1.100000024
653,1.799999952
654,1.600000024
655,2.900000095
656,2.099999905
657,3
658,1.799999952
659,3
660,1.5
661,4.300000191
662,3.299999952
663,2.200000048
664,3.200000048
665,2.200000048
666,3.400000095
667,3.700000048
668,2.400000095
669,3.200000048
670,2.099999905
671,2.799999952
672,3.900000095
673,3.799999952
674,1
675,2.400000095
676,1.299999952
677,2.200000048
678,2.099999905
679,1.799999952
680,3.099999905
681,1.700000048
682,3
683,3.700000048
684,4.199999809
685,0.800000012
686,3.400000095
687,1.899999976
688,1.299999952
689,2.599999905
690,1.299999952
691,1.100000024
692,0.800000012
693,0.800000012
694,1.600000024
695,1
696,0.699999988
697,2
698,1.299999952
699,3.099999905
700,2.5
701,1.5
702,3.400000095
703,0.200000003
704,0.300000012
705,0.5
706,0.400000006
707,1
708,0.800000012
709,1.100000024
710,0.5
711,0.200000003
712,1.299999952
713,1.200000048
714,1.100000024
715,0.200000003
716,0.800000012
717,0.800000012
718,0.600000024
719,1.200000048
720,1.600000024
721,1.600000024
722,0.800000012
723,0.699999988
724,1
725,0.600000024
726,1
727,1.200000048
728,0.899999976
729,0.800000012
730,1.200000048
731,1.700000048
732,1
733,1.299999952
734,0.699999988
735,0.800000012
736,1.600000024
737,1.299999952
738,1.5
739,4.099999905
740,1.700000048
741,2.700000048
742,3.299999952
743,3.299999952
744,4
745,3.700000048
746,1.200000048
747,2.700000048
748,2
749,2
750,2.599999905
751,2.299999952
752,3.799999952
753,3
754,4.199999809
755,4.400000095
756,4.099999905
757,5.599999905
758,2.799999952
759,4.300000191
760,3.799999952
761,4.300000191
762,4.099999905
763,2.599999905
764,4.900000095
765,4.099999905
766,2.400000095
767,4.300000191
768,3.299999952
769,3.099999905
770,5.300000191
771,5.5
772,2.400000095
773,3.400000095
774,4.5
775,5.099999905
776,4.699999809
777,4.099999905
778,3.5
779,2.900000095
780,1.899999976
781,2.400000095
782,4.5
783,4.199999809
784,2.099999905
785,2.799999952
786,2.700000048
787,3.299999952
788,4.300000191
789,5.599999905
790,3.900000095
791,4.300000191
792,4.400000095
793,3.700000048
794,2.099999905
795,3.799999952
796,2.299999952
797,3.599999905
798,3.200000048
799,4.099999905
800,3.799999952
801,2.400000095
802,2.799999952
803,2.900000095
804,3.599999905
805,1.899999976
806,2.200000048
807,2
808,2.400000095
809,2.099999905
810,3.200000048
811,2.400000095
812,1.799999952
813,2.400000095
814,2.400000095
815,1.399999976
816,2.200000048
817,1.5
818,1.799999952
819,0.899999976
820,1.5
821,2.400000095
822,1.700000048
823,1.799999952
824,2.700000048
825,3.200000048
826,2.700000048
827,3.099999905
828,1.799999952
829,1.399999976
830,1.399999976
831,0.800000012
832,0.5
833,0.400000006
834,0
835,0.800000012
836,0
837,0
838,0.100000001
839,0
840,0.100000001
841,0.100000001
842,0.200000003
843,0.400000006
844,0.300000012
845,0.600000024
846,0.400000006
847,0.5
848,0.400000006
849,0.5
850,0.600000024
851,1.399999976
852,0.300000012
853,0.5
854,0.600000024
855,1
856,0.699999988
857,0.5
858,1.299999952
859,1
860,0.5
861,1
862,0.600000024
863,0.400000006
864,0.300000012
865,0.200000003
866,0.899999976
867,0.699999988
868,0.699999988
869,0.699999988
870,1.100000024
871,0.699999988
872,0.699999988
873,1.600000024
874,1.399999976
875,1
876,1.299999952
877,1.200000048
878,1.100000024
879,1.100000024
880,1
881,0.899999976
882,0.600000024
883,0.400000006
884,0.699999988
885,1.5
886,0.800000012
887,1
888,1.100000024
889,1.200000048
890,1
891,1.399999976
892,1.100000024
893,1.200000048
894,1.5
895,1.5
896,1.200000048
897,1.399999976
898,0.899999976
899,1.100000024
900,1.200000048
901,1.899999976
902,1.600000024
903,1.600000024
904,1.799999952
905,1.200000048
906,1
907,1.100000024
908,1.299999952
909,2.099999905
910,1.100000024
911,1.299999952
912,1.700000048
913,1.100000024
914,1.299999952
915,1.100000024
916,1.100000024
917,0.600000024
918,0.600000024
919,0.600000024
920,0.699999988
921,0.699999988
922,0.800000012
923,0.800000012
924,1.200000048
925,1
926,0.699999988
927,0.5
928,0.300000012
929,0.200000003
930,0.300000012
931,0.300000012
932,0.200000003
933,0.200000003
934,0.400000006
935,0.600000024
936,0.699999988
937,0.400000006
938,0.600000024
939,0.5
940,0.400000006
941,0.300000012
942,0.5
943,0.100000001
944,0.400000006
945,0.400000006
946,0.699999988
947,0.899999976
948,1
949,0.800000012
950,0.400000006
951,0.300000012
952,0.400000006
953,0.699999988
954,0.600000024
955,0.400000006
956,0.800000012
957,1
958,0.699999988
959,1
960,0.800000012
961,0.300000012
962,0.300000012
963,1
964,0.5
965,0.200000003
966,0.600000024
967,0.600000024
968,0.899999976
969,1.200000048
970,0.699999988
971,1.5
972,1.399999976
973,0.800000012
974,2.099999905
975,1.600000024
976,1.700000048
977,2.200000048
978,2.700000048
979,1
980,2
981,0.200000003
982,1.600000024
983,2
984,1.100000024
985,1.899999976
986,2.099999905
987,1.399999976
988,1.100000024
989,1.799999952
990,1.100000024
991,0.899999976
992,1.799999952
993,2
994,2.200000048
995,2.299999952
996,2.099999905
997,1.600000024
998,2.299999952
999,1.100000024
1000,1
1001,1.799999952
1002,1.899999976
1003,2.299999952
1004,1
1005,1
1006,1.399999976
1007,1.399999976
1008,2.099999905
1009,1.5
1010,1.899999976
1011,1.299999952
1012,1.899999976
1013,1.5
1014,1.899999976
1015,1.100000024
1016,0.699999988
1017,1.399999976
1018,1.5
1019,1.700000048
1020,2
1021,1.5
1022,1.700000048
